PF05385	27
PF04528	27.3
PF06931	27
PF04881	27
PF01065	25
PF03678	32.1
PF02456	35
PF00541	27
PF11081	19.2
PF01686	27
PF03955	27
PF03910	27
PF01310	25
PF05829	27.8
PF00608	3.5
PF02459	27
PF03228	21.2
PF16579	27.1
PF01295	24.7
PF26690	21.9
PF26691	23.3
PF26693	25.8
PF00709	27
PF12633	27
PF04439	22
PF19582	27
PF29302	27
PF23813	27
PF27521	27
PF25387	31
PF26152	22
PF16812	27
PF09085	25
PF30584	27
PF04619	23.6
PF16747	23.7
PF03257	25
PF18652	27.1
PF25137	27
PF08240	23.5
PF16884	31
PF00106	25
PF13561	27
PF00107	31.8
PF13602	27
PF02274	22.8
PF11559	34.3
PF15202	27
PF06377	22.9
PF00406	46.9
PF05191	26.6
PF19627	27
PF05221	25
PF00670	27
PF08132	25
PF02675	25
PF07757	27
PF01941	27
PF03496	21.9
PF18648	26.6
PF04587	27
PF03747	26.2
PF25662	27
PF10397	32.7
PF25379	31.8
PF29342	27
PF29343	27
PF20032	27
PF08509	21
PF16701	28.6
PF06355	22
PF25001	27
PF24387	27
PF22548	27
PF17049	27
PF23162	23
PF01117	24.3
PF05110	26.9
PF27426	27
PF27425	27
PF27411	27
PF27410	27
PF27424	27
PF14591	22.6
PF22357	28
PF27423	27
PF29254	27
PF27409	27
PF27408	27
PF27422	27
PF01954	21.6
PF14556	27
PF18875	23.2
PF05775	30.8
PF15339	27
PF22394	26
PF30810	27
PF30812	27
PF26705	27
PF18876	24
PF03969	27
PF07792	25.5
PF08493	24
PF01314	27
PF02730	29.8
PF02420	35
PF18815	15
PF03756	24
PF08731	21.6
PF11786	25
PF11787	25
PF11785	22
PF12249	25
PF12250	26.7
PF26371	27
PF11001	31.3
PF27352	27
PF27313	27
PF27315	27
PF27217	27
PF27236	27
PF29259	27
PF27375	27
PF22176	27
PF27245	27
PF27297	27
PF27341	27
PF22185	27
PF27382	27
PF27327	27
PF27253	27
PF27384	27
PF27252	27
PF29717	27
PF27271	27
PF27350	27
PF27291	27
PF27259	27
