f_id,current_name,correct_name,pfam_acc,introduced_release
5.1.4.402,PF30552,CFAP251_N,PF30552,v293.1
5.1.4.430,PF30506,Beta-prop_MIP2,PF30506,v293.1
5.1.4.508,PF30952,MED16_beta-prop,PF30952,v293.1
5.1.4.515,PF26607,Beta-prop_PLL,PF26607,v293.1
5.1.4.549,PF28327,FANCB_N,PF28327,v293.1
5.1.4.564,PF29788,TP_0598_N,PF29788,v293.1
5.1.4.573,PF30151,PAC11,PF30151,v293.1
5.1.4.575,PF30290,YJR039W_M,PF30290,v293.1
5.1.4.582,PF30032,MMS1_N,PF30032,v293.1
5.1.4.670,PF29948,Beta-prop_ApeH-3,PF29948,v294
5.1.5.167,PF30506,Beta-prop_MIP2,PF30506,v293.1
5.1.5.200,PF30137,GID12_WD40,PF30137,v293.1
5.1.5.201,PF30361,TRM82_WD,PF30361,v293.1
5.1.5.205,PF27482,Beta-prop_YycP,PF27482,v293.1
5.1.5.213,PF29037,DSE1_N,PF29037,v293.1
5.1.5.228,PF30551,CFAP251_C,PF30551,v293.1
5.1.5.237,PF26607,Beta-prop_PLL,PF26607,v294
5.1.5.89,PF31099,SHKBP1_KCTD3_C,PF31099,v293.1
520.1.1.2,PF27308,XkdV_N,PF27308,v293.1
523.1.1.3,PF29994,NMD3_N,PF29994,v293.1
524.1.1.15,PF31206,YLR049C_C,PF31206,v293.1
529.1.1.3,PF26432,Roller3_N,PF26432,v293.1
532.2.1.13,PF26740,DUF8246,PF26740,v293.1
539.1.1.3,PF28910,VP214_bundle,PF28910,v293.1
541.1.1.10,PF29056,MYCBP_helical,PF29056,v293.1
541.1.1.11,PF30489,Ropporin_N,PF30489,v293.1
541.1.1.12,PF30825,DD_IQCK,PF30825,v293.1
541.1.1.13,PF29587,AKLP2_N,PF29587,v293.1
542.1.1.3,PF27938,SMIM7,PF27938,v293.1
543.1.1.6,PF29739,FslL_N,PF29739,v293.1
544.1.1.3,PF29121,AMN1_C,PF29121,v293.1
544.1.1.4,PF28319,ERICH1_C,PF28319,v293.1
548.1.1.5,PF29541,F36G3_C,PF29541,v293.1
557.1.1.10,PF31221,Borosin_clasp,PF31221,v293.1
558.1.1.19,PF30097,LisH_SSDP,PF30097,v293.1
558.1.1.24,PF26038,Dimer_MINDY4_N,PF26038,v293.1
558.1.1.25,PF31023,RELCH_LH,PF31023,v293.1
558.1.1.28,PF29040,LisH_CTF50,PF29040,v293.1
558.1.1.41,PF30093,LisH_UCP007778,PF30093,v293.1
558.1.1.42,PF29757,Rv2628,PF29757,v293.1
56.1.1.2,PF27304,UU051_N,PF27304,v293.1
564.1.1.11,PF29340,RsmA_N,PF29340,v293.1
568.1.1.22,PF29982,ISC10_helical,PF29982,v293.1
568.1.1.24,PF29645,CHCH3_N,PF29645,v293.1
573.1.1.5,PF27573,TRA2_C,PF27573,v293.1
59.1.1.16,PF30948,BIN4,PF30948,v293.1
59.1.1.17,PF30943,RHL1,PF30943,v293.1
59.1.2.5,PF31260,RNH203,PF31260,v293.1
59.1.3.4,PF28635,MDA2,PF28635,v293.1
59.1.3.6,PF30943,RHL1,PF30943,v293.1
592.1.1.5,PF26084,PWI_Topors,PF26084,v293.1
592.1.1.7,PF26091,PWI_CCDC43,PF26091,v293.1
592.1.1.9,PF26051,PWI_ABCF3,PF26051,v293.1
592.2.1.10,PF27983,CUEDC2_N,PF27983,v293.1
592.2.1.11,PF31137,DUF8822,PF31137,v293.1
592.2.1.12,PF26051,PWI_ABCF3,PF26051,v293.1
592.3.1.8,PF31020,MYO9_tail,PF31020,v293.1
592.6.1.2,PF26582,ASCC3_N,PF26582,v293.1
592.6.1.4,PF28135,ELG1_C,PF28135,v293.1
6006.1.1.4,PF28678,CXorf58_MFI,PF28678,v293.1
6006.1.1.5,PF28463,MFI_C,PF28463,v293.1
6006.1.1.6,PF27661,DRC10_N,PF27661,v293.1
60.1.1.10,PF28898,SPOC_CPL1_2,PF28898,v293.1
601.1.1.113,PF29854,MCM3AP_GANP_C,PF29854,v293.1
601.1.1.124,PF26574,GAIN_ADGRG2,PF26574,v293.1
601.1.1.126,PF26990,DUF8316,PF26990,v293.1
601.1.1.137,PF31231,C16C10_9,PF31231,v293.1
601.1.1.148,PF31054,DUF8793,PF31054,v293.1
601.11.1.5,PF27107,DRC11_N,PF27107,v293.1
60.1.1.14,PF29334,M1AP_C,PF29334,v293.1
601.1.1.94,PF27561,INPP4A_C2,PF27561,v293.1
601.1.1.98,PF27524,HIP1R,PF27524,v293.1
601.1.2.100,PF31009,DAGL_N,PF31009,v293.1
601.1.2.122,PF28421,DOLK,PF28421,v293.1
601.1.2.130,PF28583,CPR5_C,PF28583,v293.1
601.1.2.139,PF30710,DUF6005_C,PF30710,v293.1
601.1.2.140,PF30077,Iron_transporter,PF30077,v293.1
601.1.2.143,PF31092,EcoKI_5th,PF31092,v293.1
601.1.2.145,PF26672,DUF1631_3rd,PF26672,v293.1
601.1.2.149,PF30922,DUF8759,PF30922,v293.1
601.1.2.152,PF26650,DUF8215,PF26650,v294
601.1.3.11,PF28566,MEX1_N,PF28566,v293.1
601.1.3.8,PF27524,HIP1R,PF27524,v293.1
601.14.1.3,PF31009,DAGL_N,PF31009,v293.1
601.16.1.17,PF27561,INPP4A_C2,PF27561,v293.1
601.16.1.9,PF31076,RAPGEF1_N,PF31076,v293.1
601.18.1.26,PF30890,Sll0103_C,PF30890,v293.1
601.18.1.32,PF26403,DUF8101,PF26403,v294
601.18.1.33,PF30769,FTR1_4HB,PF30769,v294
601.19.1.35,PF28744,At3g27390_N,PF28744,v293.1
601.19.1.40,PF28954,SHE10_OSW_C,PF28954,v293.1
601.19.1.55,PF28139,EVC_N,PF28139,v293.1
601.21.1.10,PF27536,UbiB_helical,PF27536,v294
601.2.1.17,PF31066,DUF8799,PF31066,v293.1
601.2.1.18,PF27107,DRC11_N,PF27107,v293.1
601.23.1.7,PF31110,MutS2_N,PF31110,v293.1
60.1.2.4,PF29334,M1AP_C,PF29334,v293.1
601.3.1.10,PF30376,ViaA_N,PF30376,v293.1
601.3.1.14,PF27870,T1-F,PF27870,v293.1
601.3.1.15,PF27543,FimL_C,PF27543,v293.1
601.3.1.26,PF26379,FimL_2nd,PF26379,v293.1
601.37.1.8,PF27232,MJ1433_C,PF27232,v293.1
601.4.1.54,PF28326,Sensor_actino,PF28326,v293.1
601.4.1.58,PF27150,Rv2240c,PF27150,v293.1
601.4.1.75,PF27561,INPP4A_C2,PF27561,v293.1
601.4.1.82,PF27107,DRC11_N,PF27107,v293.1
601.4.1.91,PF30769,FTR1_4HB,PF30769,v294
601.54.1.5,PF29123,R07B1_N,PF29123,v293.1
601.7.1.48,PF29375,DLT1_C,PF29375,v293.1
601.7.1.58,PF27235,AF_1680,PF27235,v293.1
601.7.1.61,PF27473,CfpA_C,PF27473,v293.1
601.7.1.63,PF28878,C3H64_C,PF28878,v293.1
601.7.1.74,PF26481,DUF8154,PF26481,v294
6020.1.1.2,PF28809,FtsQ_DivIB_C_rel,PF28809,v293.1
6026.1.1.18,PF31011,UBR7_C,PF31011,v293.1
6026.1.1.22,PF29335,Pugs-5,PF29335,v293.1
6026.1.1.39,PF27817,Ies1_helical,PF27817,v293.1
6027.1.1.2,PF28165,GamL,PF28165,v293.1
603.1.1.100,PF27017,GOSR1_N,PF27017,v293.1
603.1.1.103,PF29732,Syntaxin_R9BP,PF29732,v293.1
603.1.1.105,PF31021,RBSN_mid,PF31021,v293.1
603.1.1.108,PF27599,CcsR_C,PF27599,v293.1
603.1.1.110,PF26585,STX17_N,PF26585,v293.1
603.1.1.116,PF27980,EML_helical,PF27980,v293.1
603.1.1.121,PF30821,TANGO1_helical,PF30821,v293.1
603.1.1.131,PF26030,RUNDC1,PF26030,v293.1
603.1.1.147,PF26753,SIS3_N,PF26753,v293.1
603.1.1.157,PF28884,Gen_polyprot_petuvir,PF28884,v293.1
603.1.1.162,PF25999,SYNRG_C,PF25999,v293.1
603.1.1.163,PF27977,CEP70,PF27977,v293.1
603.1.1.167,PF28963,BLOC1S4,PF28963,v293.1
603.1.1.181,PF30927,DUF8761,PF30927,v293.1
603.1.1.184,PF31024,Fungal_trans_C,PF31024,v293.1
603.1.1.185,PF27014,DUF8334,PF27014,v293.1
603.1.1.197,PF28744,At3g27390_N,PF28744,v293.1
603.1.1.205,PF29691,YJL043W_N,PF29691,v293.1
603.1.1.207,PF30350,COG1_C,PF30350,v293.1
603.1.1.209,PF28401,MHP1_C,PF28401,v293.1
603.1.1.211,PF31236,Psidin_C,PF31236,v293.1
603.1.1.213,PF29152,UNC83_middle_bundle,PF29152,v293.1
603.1.1.215,PF27853,TMEM160,PF27853,v293.1
603.1.1.226,PF26740,DUF8246,PF26740,v293.1
603.1.1.232,PF27018,NAI2_N,PF27018,v293.1
603.1.1.236,PF27019,DUF8335,PF27019,v293.1
603.1.1.243,PF30656,Baseplate_N,PF30656,v294
603.1.1.99,PF27021,BOS1_GOSR2_MEM11-like_N,PF27021,v293.1
603.2.1.18,PF27599,CcsR_C,PF27599,v293.1
603.2.1.27,PF26179,RESC10,PF26179,v293.1
603.5.1.43,PF30343,Don_juan,PF30343,v293.1
603.6.1.9,PF28010,MksB,PF28010,v293.1
604.10.1.10,PF30641,DUF8686,PF30641,v293.1
604.10.1.12,PF27853,TMEM160,PF27853,v293.1
604.1.1.134,PF28715,DUF8445,PF28715,v293.1
604.1.1.140,PF27005,DUF8326,PF27005,v293.1
604.1.1.143,PF26583,Spectrin_YLPM1,PF26583,v293.1
604.1.1.144,PF26575,HHO5_N,PF26575,v293.1
604.1.1.150,PF28954,SHE10_OSW_C,PF28954,v293.1
604.1.1.154,PF27021,BOS1_GOSR2_MEM11-like_N,PF27021,v293.1
604.1.1.155,PF29142,UNC83_N,PF29142,v293.1
604.1.1.156,PF29149,UNC83_four_bundle,PF29149,v293.1
604.1.1.161,PF27599,CcsR_C,PF27599,v293.1
604.1.1.179,PF30976,DUF8774,PF30976,v293.1
604.1.1.191,PF29057,SYN8_N,PF29057,v293.1
604.1.1.192,PF26998,DUF8323,PF26998,v293.1
604.1.1.199,PF26165,RESC7,PF26165,v293.1
604.1.1.220,PF26700,IPGAL1_C,PF26700,v293.1
604.1.1.225,PF29134,COG7_C,PF29134,v293.1
604.1.1.226,PF26877,Phage_SPbeta_YopN,PF26877,v293.1
604.1.1.227,PF27002,FAM193A_N,PF27002,v293.1
604.1.1.235,PF27233,MJ0711_N,PF27233,v293.1
604.1.1.241,PF27734,Cytadherence_Hmw2,PF27734,v293.1
604.1.1.242,PF28744,At3g27390_N,PF28744,v293.1
604.12.1.106,PF28475,DUF8413,PF28475,v293.1
604.12.1.111,PF27331,YnaG,PF27331,v293.1
604.12.1.113,PF31146,MIT_ATG38,PF31146,v293.1
604.12.1.115,PF26206,PTX3_N,PF26206,v293.1
604.12.1.119,PF29060,VTC5_C,PF29060,v293.1
604.12.1.131,PF27853,TMEM160,PF27853,v293.1
604.12.1.143,PF26604,CBU_0592,PF26604,v294
604.12.1.144,PF27307,MJ0565,PF27307,v294
604.12.1.73,PF27107,DRC11_N,PF27107,v293.1
604.12.1.84,PF26575,HHO5_N,PF26575,v293.1
604.12.1.88,PF28329,ACE1_N,PF28329,v293.1
604.12.1.95,PF30910,ALS_M,PF30910,v293.1
604.17.1.2,PF30475,IFT56,PF30475,v293.1
604.30.1.3,PF29950,ASG7,PF29950,v293.1
604.3.1.16,PF30007,BAG2_N,PF30007,v293.1
6043.1.1.6,PF28288,SA0570,PF28288,v293.1
604.3.1.18,PF27519,BAG_BAG5,PF27519,v293.1
604.3.1.22,PF31030,DENND6_C,PF31030,v293.1
604.3.1.24,PF27980,EML_helical,PF27980,v293.1
604.3.1.25,PF30537,FAM237_M,PF30537,v293.1
604.3.1.26,PF26081,DUF8031,PF26081,v293.1
604.3.1.36,PF30926,MED16_helical,PF30926,v293.1
604.3.1.42,PF27754,UCP031277,PF27754,v293.1
604.3.1.46,PF28048,CiaI,PF28048,v293.1
604.33.1.5,PF29141,PGA43,PF29141,v293.1
604.39.1.41,PF26509,DUF8171,PF26509,v294
604.4.1.10,PF26679,DUF8228,PF26679,v294
604.5.1.39,PF26581,WIT1_2_N,PF26581,v293.1
604.5.1.51,PF27980,EML_helical,PF27980,v293.1
604.5.1.56,PF29353,B0403_3,PF29353,v293.1
604.5.1.61,PF30641,DUF8686,PF30641,v293.1
604.5.1.69,PF28025,EMYY_lipop,PF28025,v293.1
604.5.1.73,PF27925,Membrane_MLC1,PF27925,v293.1
604.6.1.26,PF25999,SYNRG_C,PF25999,v293.1
604.6.1.28,PF30641,DUF8686,PF30641,v293.1
604.6.1.36,PF27929,FAM237B_N,PF27929,v293.1
604.6.1.37,PF30537,FAM237_M,PF30537,v293.1
604.6.1.40,PF27980,EML_helical,PF27980,v293.1
604.6.1.44,PF28566,MEX1_N,PF28566,v293.1
604.6.1.54,PF26206,PTX3_N,PF26206,v293.1
604.6.1.66,PF30117,MSD5,PF30117,v293.1
604.9.1.19,PF29843,ORF2p_C,PF29843,v293.1
605.1.1.135,PF30754,Orange_mid,PF30754,v293.1
605.1.1.163,PF27790,IcaD,PF27790,v293.1
605.1.1.173,PF28744,At3g27390_N,PF28744,v293.1
605.1.1.177,PF27917,TMEM88,PF27917,v293.1
605.1.1.230,PF28736,VPS18_solenoid_1st,PF28736,v293.1
605.1.1.231,PF28573,OFUT_helical_N,PF28573,v293.1
605.1.1.245,PF27758,PRM1,PF27758,v293.1
605.1.1.250,PF25886,Msy1,PF25886,v293.1
605.1.1.287,PF27260,Y4jQ,PF27260,v293.1
605.1.1.289,PF26892,Phage_SPbeta_YosX,PF26892,v293.1
605.1.1.306,PF30649,ABC1_C,PF30649,v293.1
605.1.1.349,PF28334,PacC_helical,PF28334,v293.1
605.1.1.362,PF30840,Cas_TM1802_M,PF30840,v294
6051.5.1.2,PF27494,Y4lK,PF27494,v293.1
605.3.1.2,PF30119,DGT4,PF30119,v293.1
605.4.1.12,PF28324,PDE8_3rd,PF28324,v293.1
605.4.1.18,PF29357,B0252_5_C,PF29357,v293.1
605.4.1.19,PF30187,B0563_1_N,PF30187,v293.1
605.4.1.23,PF27339,Prd_NiFe_hyd_3_EhaK,PF27339,v294
6055.1.1.11,PF28880,T2SSM_N,PF28880,v293.1
6055.1.1.20,PF30944,COX5C,PF30944,v293.1
6055.1.1.25,PF29888,ERLN,PF29888,v293.1
6055.1.1.26,PF28825,CD19_TM,PF28825,v293.1
6055.1.1.27,PF30181,ComC_N,PF30181,v293.1
6055.1.1.32,PF29730,DDB_G0287209_C,PF29730,v293.1
605.6.1.10,PF26664,zf-BED_2,PF26664,v293.1
605.6.1.12,PF27273,MJ0235,PF27273,v293.1
605.8.1.2,PF27894,ECM13_helical,PF27894,v293.1
6061.1.1.9,PF25977,DZIP1,PF25977,v293.1
607.1.1.4,PF31020,MYO9_tail,PF31020,v293.1
6074.1.1.13,PF27655,GDU_TM,PF27655,v293.1
