PF06351	Allene_ox_cyc
PF25312	Allergen_Asp_f_4
PF05549	Allexi_40kDa
PF06545	AllG
PF11392	AllH
PF30333	AllH_N
PF04864	Alliinase_C
PF15309	ALMS_motif
PF18727	ALMS_repeat
PF11744	ALMT
PF17696	ALN
PF24890	ALN_composite
PF04030	ALO
PF04852	ALOG_dom
PF22128	Alp7A_like_C
PF06401	Alpha-2-MRAP_C
PF06400	Alpha-2-MRAP_N
PF00128	Alpha-amylase
PF02806	Alpha-amylase_C
PF22026	Alpha-amylase_C_2
PF02903	Alpha-amylase_N
PF09071	Alpha-amyl_C
PF07821	Alpha-amyl_C2
PF09154	Alpha-amy_C_pro
PF04168	Alpha-E
PF14456	alpha-hel2
PF06964	Alpha-L-AF_C
PF09261	Alpha-mann_mid
PF08829	AlphaC_N
PF17480	AlphaC_N2
PF02883	Alpha_adaptinC2
PF02296	Alpha_adaptin_C
PF01589	Alpha_E1_glycop
PF00943	Alpha_E2_glycop
PF01563	Alpha_E3_glycop
PF03229	Alpha_GJ
PF18489	Alpha_Helical
PF29476	Alpha_humulene_synt
PF02816	Alpha_kinase
PF01120	Alpha_L_fucos
PF02232	Alpha_TIF
PF09608	Alph_Pro_TM
PF17989	ALP_N
PF28246	Alr0857
PF27270	Alr1449
PF27288	Alr2735
PF27301	Alr2735_N
PF15299	ALS2CR8
PF25384	Alsin_RLD
PF30910	ALS_M
PF10369	ALS_ss_C
PF16541	AltA1
PF20080	ALTTAQ_rpt
PF11092	Alveol-reg_P311
PF30270	AlyA
PF02430	AMA-1
PF24112	Amanitin
PF07344	Amastin
PF28164	AmcA_3a
PF17645	Amdase
PF12475	Amdo_NSP_1-3
PF05111	Amelin
PF02948	Amelogenin
PF15757	Amelotin
PF09422	AMER
PF12190	amfpi-1
PF21405	AMG1_II
PF21404	AMG1_III
PF04709	AMH_N
PF07313	AmiA-like
PF01425	Amidase
PF01510	Amidase_2
PF01520	Amidase_3
PF05382	Amidase_5
PF12671	Amidase_6
PF01979	Amidohydro_1
PF04909	Amidohydro_2
PF07969	Amidohydro_3
PF12224	Amidoligase_2
PF09663	Amido_AtzD_TrzD
PF11741	AMIN
PF24837	AMIN-like
PF10706	Aminoglyc_resit
PF10023	Aminopep
PF00155	Aminotran_1_2
PF00202	Aminotran_3
PF01063	Aminotran_4
PF00266	Aminotran_5
PF01593	Amino_oxidase
PF21332	AmiR_N
PF02293	AmiS_UreI
PF10997	Amj
PF01871	AMMECR1
PF00909	Ammonium_transp
PF29121	AMN1_C
PF29120	AMN1_helical
PF14828	Amnionless
PF10423	AMNp_N
PF02461	AMO
PF27634	Amo1_N
PF04896	AmoC
PF03782	AMOP
PF00501	AMP-binding
PF13193	AMP-binding_C
PF14535	AMP-binding_C_2
PF23562	AMP-binding_C_3
PF23024	AMP-dom_DIP2-like
PF17113	AmpE
PF20068	Amphi-Trp
PF16561	AMPK1_CBM
PF04739	AMPKBI
PF21147	AMPK_alpha_AID
PF27529	AMPT
PF19326	AMP_deaminase
PF05195	AMP_N
PF22907	Ams1-like_1st
PF25823	Ams2-SPT21_N
PF09081	AMT4_dom_C
PF28028	Amuc_1100
PF28178	Amuc_1102
PF09094	AmyA-A_glucT_m
PF09095	AmyA-gluTrfs_C
PF22423	AmyB_C
PF22582	Amylosucrase_C-like
PF20922	Anamorsin_N
PF12859	ANAPC1
PF03256	ANAPC10
PF15243	ANAPC15
PF17256	ANAPC16
PF08672	ANAPC2
PF12895	ANAPC3
PF12896	ANAPC4
PF12894	ANAPC4_WD40
PF12862	ANAPC5
PF04049	ANAPC8
PF12856	ANAPC9
PF10471	ANAPC_CDC26
PF01821	ANATO
PF24531	ANC1_spectrin
PF22586	ANCHR-like_BBOX
PF02166	Androgen_recep
PF22068	Androglobin_II
PF22069	Androglobin_IV
PF22070	Androglobin_V
PF06369	Anemone_cytotox
PF03139	AnfG_VnfG
PF09582	AnfO_nitrog
PF01094	ANF_receptor
PF25443	ANG-1
PF19339	ANGEL2_N
PF12240	Angiomotin_C
PF28904	ANGPTL8
PF08174	Anillin
PF16018	Anillin_N
PF29868	Anionic_AP2
PF02520	ANIS5_cation-bd
PF00023	Ank
PF29131	ANKA
PF31069	ANKFN1_ab
PF31008	ANKFN1_mid
PF28486	AnkG_N
PF07260	ANKH
PF24567	ANKLE2_3rd
PF11904	ANKRD13_C
PF27687	ANKRD40_UBL
PF18418	AnkUBD
PF22170	AnkX_ins
PF12796	Ank_2
PF13606	Ank_3
PF13637	Ank_4
PF13857	Ank_5
PF24521	Ank_KRIT1
PF23745	ANK_LRRK2
PF21137	ANM3_C2H2_Zf
PF21336	ANM3_zf-C2H2
PF03702	AnmK
PF00191	Annexin
PF18411	Annexin_2
PF21397	Annexin_3
PF04547	Anoctamin
PF20877	Anoctamin_N
PF16178	Anoct_dimer
PF10731	Anophelin
PF00212	ANP
PF03452	Anp1
PF03374	ANT
